id,title,level,automated_by_cis,ansible_status,task_or_tag,notes
1.1.1.1,Ensure cramfs kernel module is not available,1,Automated,implemented,1.1.1.1,
1.1.1.2,Ensure freevxfs kernel module is not available,1,Automated,implemented,1.1.1.2,
1.1.1.3,Ensure hfs kernel module is not available,1,Automated,implemented,1.1.1.3,
1.1.1.4,Ensure hfsplus kernel module is not available,1,Automated,implemented,1.1.1.4,
1.1.1.5,Ensure jffs2 kernel module is not available,1,Automated,implemented,1.1.1.5,
1.1.1.6,Ensure squashfs kernel module is not available,2,Automated,implemented,1.1.1.6,
1.1.1.7,Ensure udf kernel module is not available,2,Automated,implemented,1.1.1.7,
1.1.1.8,Ensure usb-storage kernel module is not available,1,Automated,implemented,1.1.1.8,
1.1.1.9,Ensure unused filesystems kernel modules are not available,1,Manual,manual,,Marcado como Manual en el CIS Benchmark (politica organizacional / revision humana / seguridad fisica). No se automatiza.
1.1.2.1.1,Ensure /tmp is a separate partition,1,Automated,implemented,1.1.2.1.1,"Crear una particion separada es una operacion destructiva de particionado que debe decidirse en el diseno de instalacion/LVM. El rol incluye una tarea de auditoria (findmnt) que falla si no es punto de montaje separado, pero NO particiona discos automaticamente."
1.1.2.1.2,Ensure nodev option set on /tmp partition,1,Automated,implemented,1.1.2.1.2,
1.1.2.1.3,Ensure nosuid option set on /tmp partition,1,Automated,implemented,1.1.2.1.3,
1.1.2.1.4,Ensure noexec option set on /tmp partition,1,Automated,implemented,1.1.2.1.4,
1.1.2.2.1,Ensure /dev/shm is a separate partition,1,Automated,implemented,1.1.2.2.1,Ver 1.1.2.1.1 (particion separada). Tarea de auditoria no destructiva incluida.
1.1.2.2.2,Ensure nodev option set on /dev/shm partition,1,Automated,implemented,1.1.2.2.2,
1.1.2.2.3,Ensure nosuid option set on /dev/shm partition,1,Automated,implemented,1.1.2.2.3,
1.1.2.2.4,Ensure noexec option set on /dev/shm partition,1,Automated,implemented,1.1.2.2.4,
1.1.2.3.1,Ensure separate partition exists for /home,2,Automated,implemented,1.1.2.3.1,Ver 1.1.2.1.1 (particion separada /home). Tarea de auditoria no destructiva incluida.
1.1.2.3.2,Ensure nodev option set on /home partition,1,Automated,implemented,1.1.2.3.2,
1.1.2.3.3,Ensure nosuid option set on /home partition,1,Automated,implemented,1.1.2.3.3,
1.1.2.4.1,Ensure separate partition exists for /var,2,Automated,implemented,1.1.2.4.1,Ver 1.1.2.1.1 (particion separada /var). Tarea de auditoria no destructiva incluida.
1.1.2.4.2,Ensure nodev option set on /var partition,1,Automated,implemented,1.1.2.4.2,
1.1.2.4.3,Ensure nosuid option set on /var partition,1,Automated,implemented,1.1.2.4.3,
1.1.2.5.1,Ensure separate partition exists for /var/tmp,2,Automated,implemented,1.1.2.5.1,Ver 1.1.2.1.1 (particion separada /var/tmp). Tarea de auditoria no destructiva incluida.
1.1.2.5.2,Ensure nodev option set on /var/tmp partition,1,Automated,implemented,1.1.2.5.2,
1.1.2.5.3,Ensure nosuid option set on /var/tmp partition,1,Automated,implemented,1.1.2.5.3,
1.1.2.5.4,Ensure noexec option set on /var/tmp partition,1,Automated,implemented,1.1.2.5.4,
